ISO3,Year_base,WAshare_base,OldDep_base
ABW,2017,0.6900364797081623,0.1896304862602566
AFG,2017,0.5417491449006266,0.04763322814878397
AGO,2017,0.5078758387041072,0.047345311645549004
ALB,2017,0.6941577448811288,0.18997872185611492
ARE,2017,0.8496056177856831,0.013462609510949592
ARG,2017,0.6391623815667673,0.17520503679904825
ARM,2017,0.6876087290347899,0.16335558805619643
ATG,2017,0.6917323452142885,0.10021965563664706
AUS,2017,0.654838798995246,0.2367541272421214
AUT,2017,0.6670685538574816,0.2878494892697042
AZE,2017,0.7070476797513612,0.08511156389785876
BDI,2017,0.5244311040481874,0.04885961469741018
BEL,2017,0.6433415729487697,0.28866306621531146
BEN,2017,0.5408745158689054,0.0599846442645865
BFA,2017,0.524099608917282,0.04595742980287584
BGD,2017,0.6653180158145742,0.0766284160339471
BGR,2017,0.649624938475456,0.32019892601852024
BHR,2017,0.7790616809506199,0.030446803661803468
BIH,2017,0.6930154601474701,0.2390861321328809
BLR,2017,0.6845907909075489,0.21617689280225957
BLZ,2017,0.6472652736594596,0.05952135511590892
BOL,2017,0.6165652937131275,0.10872826709233724
BRA,2017,0.6970047935508361,0.12270187640805977
BRB,2017,0.6598721121101502,0.22659092596717903
BRN,2017,0.7238492455044006,0.06342004176441775
BTN,2017,0.6856539666423149,0.07124088698507064
BWA,2017,0.6465275623226996,0.0609608928593123
CAF,2017,0.53149355666784,0.06876589840126546
CAN,2017,0.6699063643685422,0.25353318782019846
CHE,2017,0.6668936603977935,0.27644493837696466
CHI,2017,0.6744498348597215,0.2670947836693693
CHL,2017,0.6859677072917085,0.16161878291240206
CHN,2017,0.7168180202319276,0.14845364231688893
CIV,2017,0.5463442101688637,0.05368033682063596
CMR,2017,0.5410988076816536,0.05849213123210635
COD,2017,0.5069805640984358,0.059565239099968324
COL,2017,0.6887418816619337,0.11102014041498577
COM,2017,0.5726368452609127,0.05174048867566663
CPV,2017,0.6533452418427931,0.06825872597904645
CRI,2017,0.6888510241717456,0.13744117201445014
CUB,2017,0.6922837606694718,0.2128853485391781
CUW,2017,0.6494247503721837,0.2520190297147461
CYP,2017,0.6975349094697898,0.19234106891530886
CZE,2017,0.6559901332632908,0.29004858515581505
DEU,2017,0.6547183226136315,0.3276710234185918
DJI,2017,0.6470049164824945,0.06511255317568244
DNK,2017,0.6383754151659242,0.30823969894195824
DOM,2017,0.6372086258398116,0.10954835745677195
DZA,2017,0.6450438647507432,0.0962836054340959
ECU,2017,0.6445869191784976,0.11021329830090351
ERI,2017,0.5460403000218393,0.06615865532956666
ESP,2017,0.6587612404030252,0.29504460737551835
EST,2017,0.6418031935688804,0.30308521092744306
ETH,2017,0.5592012735676722,0.06305496494746597
FIN,2017,0.6236496355122573,0.34039112676477495
FJI,2017,0.6530554322353789,0.09531185792340487
FRA,2017,0.6219822120030751,0.31702135308723206
FSM,2017,0.6207269006291215,0.07749488658912598
GAB,2017,0.59647569522457,0.07461018506637306
GBR,2017,0.6377157633804026,0.29036790392806167
GEO,2017,0.6595347056193653,0.22536916601424728
GHA,2017,0.580934401285388,0.05825981837977219
GIN,2017,0.5460636858371701,0.05740880261874769
GNB,2017,0.5550176947836519,0.05408670483860819
GNQ,2017,0.5995910668941673,0.047459856991560266
GRC,2017,0.6538922431486733,0.3119204954058966
GRD,2017,0.6635474147924878,0.11008148489803905
GTM,2017,0.602550163617791,0.07790155735801965
GUM,2017,0.6571677352964458,0.1453310601708578
GUY,2017,0.6569699649936557,0.08075455452713148
HKG,2017,0.7220827540641175,0.2257750248916192
HND,2017,0.6370395378684256,0.07302446166811302
HRV,2017,0.6558719210341072,0.30073199962586605
HTI,2017,0.6222765229647793,0.07713363892233997
HUN,2017,0.671058109095465,0.2768346824846089
IDN,2017,0.6732417652168862,0.07901288618531764
IND,2017,0.6622830126570419,0.09042915392567129
IRL,2017,0.6443477554137141,0.21614985905246886
IRN,2017,0.7087173989143892,0.0767524931556003
IRQ,2017,0.5641560158745412,0.0564678891944632
ISL,2017,0.6547750167897918,0.22039422699962619
ISR,2017,0.6040443089465088,0.19424553032598396
ITA,2017,0.6346123056137224,0.3627607453180302
JAM,2017,0.6758916638036411,0.1432755797328834
JOR,2017,0.6068512452597838,0.0627850238243444
JPN,2017,0.6006461258608403,0.4503246775846345
KAZ,2017,0.6508064297732116,0.10742204859125537
KEN,2017,0.5684717394185118,0.04725705445378533
KHM,2017,0.6430919791747434,0.06861080429308399
KIR,2017,0.6111359301706215,0.06373796302804527
KOR,2017,0.7261249668806053,0.19162166533128783
KWT,2017,0.7656343677596283,0.030630854784298917
LAO,2017,0.6308587142907135,0.06386965998155565
LBN,2017,0.6839669226913185,0.12448141657077626
LBR,2017,0.551320757428402,0.05544852456955272
LBY,2017,0.6741697068497929,0.06561563933876167
LKA,2017,0.6591882316723298,0.1527434820021599
LSO,2017,0.60102922126914,0.07496822622628886
LTU,2017,0.6617441044986034,0.287155900466215
LUX,2017,0.6924510030765012,0.20668343176226567
LVA,2017,0.6483999856385952,0.3046641026574042
MAC,2017,0.7693790387219368,0.1273554771498361
MAR,2017,0.6583807364272328,0.1028150103456185
MDA,2017,0.733965786041313,0.14801118296551719
MDG,2017,0.5610086780302371,0.05221841785302061
MDV,2017,0.7247060710929801,0.05684811723817324
MEX,2017,0.6647508615374543,0.10315657679884764
MKD,2017,0.7004978014170778,0.1892925744680997
MLI,2017,0.4977536918926673,0.05060264879207493
MLT,2017,0.6614643657084499,0.2936781972194735
MMR,2017,0.6743726308238304,0.08499200843039327
MNE,2017,0.6712032561689137,0.21993556945234036
MNG,2017,0.6630146437481285,0.06079691094395397
MOZ,2017,0.5205149956348133,0.0606765246787346
MRT,2017,0.5693398736342198,0.05512068527732202
MUS,2017,0.706671525161682,0.15488620717039675
MWI,2017,0.5303155862516932,0.05617759421409876
MYS,2017,0.6939374462596188,0.09067966883601886
NAM,2017,0.5975233187859786,0.05945240458890053
NCL,2017,0.6752710358183562,0.14741057213463632
NER,2017,0.4724831017311821,0.05403774890901215
NGA,2017,0.5325763511664281,0.05164904307219048
NIC,2017,0.6552210578358368,0.0831014092182165
NLD,2017,0.6480787262785296,0.28975776651855617
NOR,2017,0.6540479735393279,0.2571903255787145
NPL,2017,0.6329769413394943,0.09178027868089234
NZL,2017,0.6491247642811515,0.23603651204731912
OMN,2017,0.7583238393343603,0.031055911221040632
PAK,2017,0.607269639659387,0.07401883294842887
PAN,2017,0.6469385668768285,0.12239367852722235
PER,2017,0.6546344008181441,0.10924144425179468
PHL,2017,0.63481605507687,0.07565405387161143
PNG,2017,0.6025542826574003,0.0632009948965892
POL,2017,0.6841971142691811,0.24499864854469572
PRI,2017,0.6689509602577686,0.22674850180884776
PRT,2017,0.648630341083107,0.3315008542497788
PRY,2017,0.6422283450567491,0.09931469583998566
PSE,2017,0.5738344601322894,0.053031132057764316
PYF,2017,0.6893999088361772,0.11278542323364342
QAT,2017,0.8481580290473175,0.015408752771985126
ROU,2017,0.6688585969444247,0.26687740400449056
RUS,2017,0.6821612112761857,0.20784599725780478
RWA,2017,0.568883884687003,0.05228615125973951
SAU,2017,0.7153984947513697,0.04606409757821567
SDN,2017,0.5562948319321408,0.06378065716352879
SEN,2017,0.5411012110797045,0.05559511335339763
SGP,2017,0.7209671520188675,0.17922592178749233
SLB,2017,0.5765045154684032,0.06083554173452653
SLE,2017,0.5537125331405286,0.04582768454134438
SLV,2017,0.6434961733987911,0.12856531625262785
SOM,2017,0.5083644095383131,0.05372686959925941
SSD,2017,0.548852256022998,0.0627021001537334
STP,2017,0.5427427603791961,0.0531754691290116
SUR,2017,0.6663217382969886,0.10404973801767149
SVK,2017,0.6956103370583564,0.21664700682157043
SVN,2017,0.6597585741373939,0.28892020736262664
SWE,2017,0.6247994970285149,0.31986429381087594
SWZ,2017,0.5965080372776382,0.05303232799315332
SYC,2017,0.6915566251834024,0.12444288418096343
SYR,2017,0.5907991781878227,0.07352557106041113
TCD,2017,0.5037155719660021,0.04934993782442652
TGO,2017,0.5557991888371101,0.051070708674207745
THA,2017,0.713080843453906,0.1594899690688445
TJK,2017,0.6128228675884337,0.05656109714601781
TKM,2017,0.6481108703863705,0.06599772607359686
TLS,2017,0.5283870922949817,0.06729357007915861
TON,2017,0.5834845399000185,0.09974931776353367
TTO,2017,0.693247877293892,0.14445452371244374
TUN,2017,0.679892356371032,0.11768415830155964
TWN,2017,0.7323605368490306,0.18322496729484755
TZA,2017,0.519821272437547,0.05979614559003741
UGA,2017,0.5012045832207848,0.04326100628535597
UKR,2017,0.6804524809257962,0.24192397921892791
URY,2017,0.6428575974542562,0.22796753484612983
USA,2017,0.6567356212384534,0.23469612726172273
UZB,2017,0.6754659676062289,0.06616022453169057
VEN,2017,0.6579091295589511,0.10053506504395879
VNM,2017,0.6978941771473548,0.10244810503018055
VUT,2017,0.5970772215867132,0.07359084267517083
WSM,2017,0.5780849114233354,0.09697161827772348
ZAF,2017,0.6567057593649441,0.08138314696719151
ZMB,2017,0.5273892850937719,0.04701904914344687
ZWE,2017,0.5597321073371025,0.05041525810072676
